Matrix strength (MPa),Fiber contents (vol.%),Fiber length (mm),Fiber diameter (mm),Fiber index (%),Width of specimen (mm),Depth of specimen (mm),Span length (mm),Concrete age (day),Flexural strength (MPa),References,,List of references for this database,,,
72,0,0,0,0,40,40,120,28,9.4,[1],,[1],"D.J. Kim, A.E. Naaman, S. El-Tawil, Comparative flexural behavior of four fiber reinforced cementitious composites, Cem. Concr. Compos. 30 (2008) 917–928. https://doi.org/10.1016/j.cemconcomp.2008.08.002.",,
72,0,0,0,0,40,40,120,28,10.35,,,[2],"D.J. Kim, A.E. Naaman, S. El-Tawil, Correlation between tensile and bending behavior of FRC composites with scale effect, Proceeding 7th Int. Conf. Fract. Mech. Concr. Concr. Struct. (2010) 1379–1385.",,
72,0,0,0,0,40,40,120,28,11.48,,,[3],"C. Magureanu, I. Sosa, C. Negrutiu, B. Heghes, Physical and mechanical properties of ultra high strength fiber reinforced cementitious composites, Korea Concr. Inst. (2010) 978–89.",,
72,0,0,0,0,40,40,120,28,10.41,,,[4],"W. Ismail Khalil, I. Naeem Gorgis, Z. Raad Mahdi, Mechanical Properties of High Performance Fiber Reinforced Concrete, Eng. Technol. J. 31 (2013) 1365–1387. https://doi.org/10.30684/etj.31.7a10.",,
72,1.5,35,0.5,105,40,40,120,28,15.93,,,[5],"G.H. Mahmud, Z. Yang, A.M.T. Hassan, Experimental and numerical studies of size effects of Ultra High Performance Steel Fibre Reinforced Concrete (UHPFRC) beams, Constr. Build. Mater. 48 (2013) 1027–1034. https://doi.org/10.1016/j.conbuildmat.2013.07.061.",,
72,1.5,35,0.5,105,40,40,120,28,16.15,,,[6],"D.L. Nguyen, D.K. Thai, T.T. Ngo, T.K. Tran, T.T. Nguyen, Weibull modulus from size effect of high-performance fiber-reinforced concrete under compression and flexure, Constr. Build. Mater. 226 (2019) 743–758. https://doi.org/10.1016/j.conbuildmat.2019.07.234.",,
72,1.5,35,0.5,105,40,40,120,28,17.16,,,[7],"G.D. Ashkezari, F. Fotouhi, M. Razmara, Experimental relationships between steel fiber volume fraction and mechanical properties of ultra-high performance fiber-reinforced concrete, J. Build. Eng. 32 (2020) 101613. https://doi.org/10.1016/j.jobe.2020.101613.",,
72,1.5,35,0.5,105,40,40,120,28,16.41,,,[8],"P.P. Li, Y.Y.Y. Cao, M.J.C. Sluijsmans, H.J.H. Brouwers, Q. Yu, Synergistic effect of steel fibres and coarse aggregates on impact properties of ultra-high performance fibre reinforced concrete, Cem. Concr. Compos. 115 (2021). https://doi.org/10.1016/j.cemconcomp.2020.103866.",,
72,1.5,13,0.2,97.5,40,40,120,28,27.17,,,[9],"D.-L. Nguyen, D.-K. Thai, M.N.-T. Lam, Synergy in Flexure of High-Performance Fiber-Reinforced Concrete with Hybrid Steel Fibers, J. Mater. Civ. Eng. 34 (2022). https://doi.org/10.1061/(asce)mt.1943-5533.0004232.",,
72,1.5,13,0.2,97.5,40,40,120,28,28.13,,,[10],"D.L. Nguyen, D.K. Thai, H.T.T. Nguyen, N.T. Tran, T.D. Phan, D.J. Kim, Mechanical behaviors and their correlations of ultra-high-performance fiber-reinforced concretes with various steel fiber types, Struct. Concr. 24 (2023) 1179–1200. https://doi.org/10.1002/suco.202100184.",,
